Species Name,"Organism
Type",Synonyms,Common Names,Broad Habitat,Exotic in,Invasive in,Main Reference
Dichrostachys cinerea,Plant - Tree,,El Marabu (Cuba),Terrestrial,Cuba;Jamaica;Martinique;Guadeloupe;,Cuba,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Dichrostachys cinerea,Plant - Tree,,El Marabu (Cuba),Terrestrial,Cuba;Jamaica;Martinique;Guadeloupe;,Cuba,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Dictyocha polyaetis,Micro-algae,,Silicoflagellate,Marine,Colombia;,,"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."
Dictyocha polyaetis,Micro-algae,,Silicoflagellate,Marine,Colombia;,,"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."
Didemnum perlucidum,"Invertebrate -
Ascidian/Tunicate",,A white crust tunicate,Marine,Texas;,,"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."
Didemnum perlucidum,"Invertebrate -
Ascidian/Tunicate",,A white crust tunicate,Marine,Texas;,,"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."
Digitaria sanguinalis,Plant - Grass,,Large crab grass,,Cuba;,,"CABI,2011. Digitaria sanguinalis. In: Invasive Species Compendium.
Wallingford, UK: CAB International. http://www.cabi.org/isc."
Digitaria sanguinalis,Plant - Grass,,Large crab grass,,Cuba;,,"CABI,2011. Digitaria sanguinalis. In: Invasive Species Compendium.
Wallingford, UK: CAB International. http://www.cabi.org/isc."
Dinoderus minutus,"Invertebrate -
Insect",,Bamboo borer,,Cuba;Trindad - Tobago;,,"CABI,2011. Dinoderus minutus. In: Invasive Species Compendium.
Wallingford, UK: CAB International. http://www.cabi.org/isc."
Dinoderus minutus,"Invertebrate -
Insect",,Bamboo borer,,Cuba;Trindad - Tobago;,,"CABI,2011. Dinoderus minutus. In: Invasive Species Compendium.
Wallingford, UK: CAB International. http://www.cabi.org/isc."
Dioscorea alata,Plant - Climber,,Winged yam;Air potato (Bahamas Islands);,Terrestrial,Bahamas Islands;,Bahamas Islands;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Dioscorea alata,Plant - Climber,,Winged yam;Air potato (Bahamas Islands);,Terrestrial,Bahamas Islands;,Bahamas Islands;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Dioscorea bulbifera,Plant - Vine,,,,Antigua;Guadeloupe;Martinique;St. Kitts;St. Vincent;,,"Broome, R, Sabir, K, Carrington, S. ""Plants of the Eastern Caribbean.""
2007.
<http://ecflora.cavehill.uwi.edu/index.html> (Aug 5, 2011)."
Dioscorea bulbifera,Plant - Vine,,,,Antigua;Guadeloupe;Martinique;St. Kitts;St. Vincent;,,"Broome, R, Sabir, K, Carrington, S. ""Plants of the Eastern Caribbean.""
2007.
<http://ecflora.cavehill.uwi.edu/index.html> (Aug 5, 2011)."
Ditylum brightwelli,Micro-algae,,Diatoms,Marine,Colombia;,,"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."
Ditylum brightwelli,Micro-algae,,Diatoms,Marine,Colombia;,,"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."
Dorosoma petenense,Vertebrate - Fish,,Threadfin Shad;,Freshwater,Dominican Republic;,Dominican Republic,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Dorosoma petenense,Vertebrate - Fish,,Threadfin Shad;,Freshwater,Dominican Republic;,Dominican Republic,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Dreissena polymorpha,"Invertebrate -
Mollusc",,Zebra mussel;,Freshwater,Jamaica;Mexico;Texas;Louisiana;,Jamaica;Mexico;Louisiana;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Dreissena polymorpha,"Invertebrate -
Mollusc",,Zebra mussel;,Freshwater,Jamaica;Mexico;Texas;Louisiana;,Jamaica;Mexico;Louisiana;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Drosophila nebulosa,"Invertebrate -
Insect",,,Terrestrial,Bahamas Islands;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Drosophila nebulosa,"Invertebrate -
Insect",,,Terrestrial,Bahamas Islands;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Drymonema dalmatinum,"Invertebrate -
Jellyfish",,Pink meanie,Marine,Puerto Rico;Florida;,,"Harriet Perry and Matt Cannister. 2011.   ""Drymonema  larsoni"".
USGS Nonindigenous Aquatic Species Database, Gainesville, FL.
<http://nas.er.usgs.gov/queries/factsheet.aspx?SpeciesID=2381
RevisionDate: 2/17/2011> (Aug 5, 2011)"
Drymonema dalmatinum,"Invertebrate -
Jellyfish",,Pink meanie,Marine,Puerto Rico;Florida;,,"Harriet Perry and Matt Cannister. 2011.   ""Drymonema  larsoni"".
USGS Nonindigenous Aquatic Species Database, Gainesville, FL.
<http://nas.er.usgs.gov/queries/factsheet.aspx?SpeciesID=2381
RevisionDate: 2/17/2011> (Aug 5, 2011)"
Dunaliella sp.,Protozoa,,Green algae;,Freshwater,Bahamas Islands;,Bahamas Islands;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Dunaliella sp.,Protozoa,,Green algae;,Freshwater,Bahamas Islands;,Bahamas Islands;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Dysdercus spp.,"Invertebrate -
Insect",,Cotton stainers (Jamaica);,Terrestrial,Jamaica;,Jamaica:,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Dysdercus spp.,"Invertebrate -
Insect",,Cotton stainers (Jamaica);,Terrestrial,Jamaica;,Jamaica:,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Echinochloa crus-galli,Plant - Grass,,"Quita credito (Dominican Republic);Semilla de
Maria (Dominican Republic);Tumba credito
(Dominican Republic)",Terrestrial,Dominican Republic;,Dominican Republic,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Echinochloa crus-galli,Plant - Grass,,"Quita credito (Dominican Republic);Semilla de
Maria (Dominican Republic);Tumba credito
(Dominican Republic)",Terrestrial,Dominican Republic;,Dominican Republic,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Eichhornia azurea,Plant - Aquatic,,,,Cuba,,"CABI,2011. Eichhornia azurea. In: Invasive Species Compendium.
Wallingford, UK: CAB International. http://www.cabi.org/isc."
Eichhornia azurea,Plant - Aquatic,,,,Cuba,,"CABI,2011. Eichhornia azurea. In: Invasive Species Compendium.
Wallingford, UK: CAB International. http://www.cabi.org/isc."
Eichhornia crassipes,Plant - Aquatic,"Piaropus
crassipes;Pontaderia
crassipes;Pontederia
crassipes;Eichhornia
speciosa;Heterantheraf
ormosa;Piaropus
mesomelas","Water hyacinth;Lila de agua
(Dominican Repbulic);Jacinto de agua (Puerto
Rico);",Freshwater,"Jamaica;Bahamas Islands;Dominican Republic;Puerto
Rico;Bermuda;Cuba;British Virgin Islands;Cayman Islands;Haiti;Martinique;
Guadeloupe;Venezuela;Honduras;Guatemala;Colombia;Nicaragua;Costa
Rica;Panama;Barbados;St. Vincent-Grenadines;Trinidad - Tobago;","Jamaica;Bahamas Islands;Puerto Rico;Bermuda;Cuba;Dominican Republic;
Honduras;Panama;","Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Eichhornia crassipes,Plant - Aquatic,"Piaropus
crassipes;Pontaderia
crassipes;Pontederia
crassipes;Eichhornia
speciosa;Heterantheraf
ormosa;Piaropus
mesomelas","Water hyacinth;Lila de agua
(Dominican Repbulic);Jacinto de agua (Puerto
Rico);",Freshwater,"Jamaica;Bahamas Islands;Dominican Republic;Puerto
Rico;Bermuda;Cuba;British Virgin Islands;Cayman Islands;Haiti;Martinique;
Guadeloupe;Venezuela;Honduras;Guatemala;Colombia;Nicaragua;Costa
Rica;Panama;Barbados;St. Vincent-Grenadines;Trinidad - Tobago;","Jamaica;Bahamas Islands;Puerto Rico;Bermuda;Cuba;Dominican Republic;
Honduras;Panama;","Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Elaegnus angustifolia,Plant - Tree,,Russian olive;,Terrestrial,Bermuda;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Elaegnus angustifolia,Plant - Tree,,Russian olive;,Terrestrial,Bermuda;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Elaeis guineensis,Plant - Palm,,African oil palm (ISC),,Guadeloupe;,,"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
Elaeis guineensis,Plant - Palm,,African oil palm (ISC),,Guadeloupe;,,"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
Elaphe guttata,Vertebrate - Reptile,,Corn snake (Bahamas Islands);,Terrestrial,"Bahamas Islands;Anguilla;Antigua;St. Barts;Cayman Islands;Curacao;
Bonaire;St. Martin (Netherlands);",Bahamas Islands;Anguilla;Antigua;St. Barts;Cayman Islands (Grand Cayman);,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Elaphe guttata,Vertebrate - Reptile,,Corn snake (Bahamas Islands);,Terrestrial,"Bahamas Islands;Anguilla;Antigua;St. Barts;Cayman Islands;Curacao;
Bonaire;St. Martin (Netherlands);",Bahamas Islands;Anguilla;Antigua;St. Barts;Cayman Islands (Grand Cayman);,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Eleusine indica,Plant - Grass,,Goose grass (ISC),Terrestrial,"Dominican Republic;Barbados;Cuba;Jamaica;Puerto Rico;Trinidad -
Tobago;Suriname;Venezuela;",Dominican Republic;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Eleusine indica,Plant - Grass,,Goose grass (ISC),Terrestrial,"Dominican Republic;Barbados;Cuba;Jamaica;Puerto Rico;Trinidad -
Tobago;Suriname;Venezuela;",Dominican Republic;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Eleutherodactylus cocqui,"Vertebrate -
Amphibian",,"Caribbean tree frog;Common coqui (Bahamas
Islands);Puerto Rican treefrog (Puerto Rico);",Terrestrial,Bahamas Islands;US Virgin Islands;Puerto Rico;Dominican Republic;,"Bahamas Islands;US
Virgin Islands (St.Croix,St.John,St.Thomas);Puerto
Rico;Dominican Republic;","Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Eleutherodactylus cocqui,"Vertebrate -
Amphibian",,"Caribbean tree frog;Common coqui (Bahamas
Islands);Puerto Rican treefrog (Puerto Rico);",Terrestrial,Bahamas Islands;US Virgin Islands;Puerto Rico;Dominican Republic;,"Bahamas Islands;US
Virgin Islands (St.Croix,St.John,St.Thomas);Puerto
Rico;Dominican Republic;","Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Eleutherodactylus johnstonei,"Vertebrate -
Amphibian",,whistling frog;fluitkikker (Curacao);,Terrestrial,Jamaica;Bermuda;Trinidad;Curacao;Anguilla;Martinique;Guadeloupe;,"Jamaica;Curacao;Tri
nidad;Guadeloupe;Martinique;","Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Eleutherodactylus johnstonei,"Vertebrate -
Amphibian",,whistling frog;fluitkikker (Curacao);,Terrestrial,Jamaica;Bermuda;Trinidad;Curacao;Anguilla;Martinique;Guadeloupe;,"Jamaica;Curacao;Tri
nidad;Guadeloupe;Martinique;","Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Eleutherodactylus planirostris,"Vertebrate -
Amphibian",,Greenhouse frog,Terrestrial,Guadeloupe;Turks-Caicos;Grenada;Jamaica;,Guadeloupe;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Eleutherodactylus planirostris,"Vertebrate -
Amphibian",,Greenhouse frog,Terrestrial,Guadeloupe;Turks-Caicos;Grenada;Jamaica;,Guadeloupe;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Emilia coccinea,Plant - Herb,,Pincel de amor (Dom Rep);,Terrestrial,Dominican Republic;,Dominican Republic;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Emilia coccinea,Plant - Herb,,Pincel de amor (Dom Rep);,Terrestrial,Dominican Republic;,Dominican Republic;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Emilia fosbergii,Plant - Herb,,,Terrestrial,Dominican Republic;,Dominican Republic;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Emilia fosbergii,Plant - Herb,,,Terrestrial,Dominican Republic;,Dominican Republic;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Emilia sonchifolia,Plant - Herb,,"Red tassel flower;Flora's paintbrush;Consumption
weed;",Terrestrial,Dominican Republic;,Dominican Republic;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Emilia sonchifolia,Plant - Herb,,"Red tassel flower;Flora's paintbrush;Consumption
weed;",Terrestrial,Dominican Republic;,Dominican Republic;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Enterolobium cyclocapum,Plant - Tree,,,Terrestrial,Cuba;Dominican Republic;Haiti;Jamaica;Puerto Rico,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Enterolobium cyclocapum,Plant - Tree,,,Terrestrial,Cuba;Dominican Republic;Haiti;Jamaica;Puerto Rico,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Epinephelus lanceolatus,Vertebrate - Fish,,Queenland grouper;,Marine,Bahamas Islands;,Bahamas Islands;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Epinephelus lanceolatus,Vertebrate - Fish,,Queenland grouper;,Marine,Bahamas Islands;,Bahamas Islands;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
"Epipremnum pinnatum cv.
Aureum",Plant - Climber,,Pothos vine;,Terrestrial,Bermuda;Puerto Rico;,Bermuda;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
"Epipremnum pinnatum cv.
Aureum",Plant - Climber,,Pothos vine;,Terrestrial,Bermuda;Puerto Rico;,Bermuda;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Equus asinus,"Vertebrate -
Mammal",,Donkey;burros (Virgin islands);,Terrestrial,"Bahamas Islands;US Virgin Islands;Turks-Caicos;Antigua-Barbuda;Puerto
Rico;British Virgin Islands;Cayman Islands;","Bahamas Islands;US
Virgin Islands;Turks-Caicos;Antigua-Barbuda;Puerto Rico;British Virgin Islands;Cayman
Islands;","Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Equus asinus,"Vertebrate -
Mammal",,Donkey;burros (Virgin islands);,Terrestrial,"Bahamas Islands;US Virgin Islands;Turks-Caicos;Antigua-Barbuda;Puerto
Rico;British Virgin Islands;Cayman Islands;","Bahamas Islands;US
Virgin Islands;Turks-Caicos;Antigua-Barbuda;Puerto Rico;British Virgin Islands;Cayman
Islands;","Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Equus caballus,"Vertebrate -
Mammal",,,,Turks-Caicos;,Turks-Caicos;,"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
Equus caballus,"Vertebrate -
Mammal",,,,Turks-Caicos;,Turks-Caicos;,"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
Erechthias minus,"Invertebrate -
Insect",,,Terrestrial,Bahamas Islands;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Erechthias minus,"Invertebrate -
Insect",,,Terrestrial,Bahamas Islands;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Eretmocercus serious,"Invertebrate -
Insect",,Eddy wasp;,Terrestrial,Jamaica;,Jamaica;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Eretmocercus serious,"Invertebrate -
Insect",,Eddy wasp;,Terrestrial,Jamaica;,Jamaica;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Erinnyis ello,"Invertebrate -
Insect",,sphinx moth;,Terrestrial,Dominican Republic;,Dominican Republic;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Erinnyis ello,"Invertebrate -
Insect",,sphinx moth;,Terrestrial,Dominican Republic;,Dominican Republic;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Eriobotrya japonica,Plant - Tree,,Loquat (Japanese);,Terrestrial,Trinidad-Tobago;Bermuda;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Eriobotrya japonica,Plant - Tree,,Loquat (Japanese);,Terrestrial,Trinidad-Tobago;Bermuda;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
